Common name;Species name;pathtofile;Site;lat;lng;Country;Study period;Study effort;Objective;Data sources;Effort;Analytical method;Reference;Link to paper
Malayan peacock pheasant;Polyplectron malacense;Polyplectron_malacense_279_BL;Pasoh Forest Reserve - Krau Wildlife Sanctuary;2.59;102.18;Malaysia;1975 to 1981;72 months;breeding behaviour;;;;Davidson 1983 Journal of Zoology London 201: 57-65;
Malaysian (or Campbell's) partridge;Arborophila campbelli;Arborophila_campbelli_32371_BL;;;;;;;;;;;;
Mountain bamboo partridge;Bambusicola fytchii;NA;;;;;;;;;;;;
Mountain peacock pheasant;Polyplectron inopinatum;Polyplectron_inopinatum_276_BL;;;;;;;;;;;;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;Nagaland - Manipur - Mizoram ;26.158436;94.562447;India;1996-2202;14 months;species record - threats assessment;;;;Choudhry 2005 Forktail 21: 183-196;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;north Thailand;9.505948;99.929356;Thailand;;;habitat selection;landsat maps;;;Iamsiri 2008 Raffles Bulletin of Zoology 56: 453–456;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;Dazong Mountain;25.181129;101.864143;China;2005 to 2008;8 months;feeding ecology;;;means of a resource selection index, distance analysis and the method of hierarchical habitat selection;Zhou et al 2010 Chinese Birds 1: 236–243;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;Doi Chiang Dao and Mae-Lao Mae-Sae Wildlife Sanctuaries and Doi Khun Mae Daet;19.2416;98.5524;Thailand;2003 to 2005;5 months;habitat selection;;;;Iamsiri & Gale 2008 Raffles Bulletin of Zoology 56: 457–463;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;Doi Chiang Dao Wildlife sanctuary;19.2416;98.5524;Thailand;2003;1 month;habitat section;;;MANOVA;Iamsiri & Gale 2008 Zoological Studies 47: 138-145;
Mrs Hume’s pheasant;Syrmaticus humiae;Syrmaticus_humiae_268_BL;Guizhou Province;25.088989;104.894447;China;;;species record;;;;Jiang et al 2012 Chinese Birds 3: 143–146;
Orange necked partridge;Arborophila davidi;Arborophila_davidi_219_BL;Cat Tien National Park;11.3;107.2;Vietnam;2014;4 months;habitat requirement - species co-occurrence;line transects;21 transects, 2 km long, in four habitat types, each walked six times;Poisson regression and probabilistic model;Nguyen et al 2017 Raffles Bulletin of Zoology 65: 60-67;
Orange necked partridge;Arborophila davidi;Arborophila_davidi_219_BL;Cat Tien National Park ;11.3;107.2;Vietnam;2014;4 months;density estimate - habitat selection - population estimate over 4 PAs;line transects;21 transects, 2 km long, in four habitat types, each walked six times;Distance;Nguyen et al 2018 Bird Conservation International 28: 423-438;
Palawan peacock pheasant;Polyplectron napoleonis;Polyplectron_napoleonis_281_BL;Palawan Island;9.4462;118.3929;Philippines;;;subspecies distribution;smaple collection;sample on head morphology;;Brooks & Miranda 2015 Forktail 31: 124-126;
Palawan peacock pheasant;Polyplectron napoleonis;Polyplectron_napoleonis_281_BL;Puerto Princesa Subterranean River National Park ;10.1;118.55;Philippines;2006 to 2008;;density estimate;line transects;76 transects 2km long;Distance;Mallari et al 2011 Oryx 45: 234-242;
Palawan peacock pheasant;Polyplectron napoleonis;Polyplectron_napoleonis_281_BL;Puerto Princesa Subterranean River National Park ;10.1;118.55;Philippines;2006 o 2008;;density estimate - threat assessment;line transects;76 transects 2km long;Distance;Mallari et al 2013 Environmental Management 51: 1236-1246;
Red billed partridge;Arborophila rubrirostris;Arborophila_rubrirostris_221_BL;;;;;;;;;;;;
Red breasted partridge;Arborophila hyperythra;Arborophila_hyperythra_217_BL;;;;;;;;;;;;
Red junglefowl;Gallus gallus;Gallus_gallus_246_BL;;;;;;;;;;;;
Roll's partridge;Arborophila rolli;Arborophila_rolli_31619_BL;;;;;;;;;;;;
Rufous throated partridge;Arborophila rufogularis;Arborophila_rufogularis_209_BL;;;;;;;;;;;;
Salvadori's pheasant;Lophura inornata;Lophura_inornata_257_BL;;;;;;;;;;;;
Scaly breasted partridge;Tropicoperdix chlorophus;Arborophila_chloropus_31507_BL;Cat Tien National Park;11.3;107.2;Vietnam;2014;4 months;habitat requirement - species co-occurrence;line transects;21 transects, 2 km long, in four habitat types, each walked six times;Poisson regression and probabilistic model;Nguyen et al 2017 Raffles Bulletin of Zoology 65: 60-67;
Scaly breasted partridge;Tropicoperdix chlorophus;Arborophila_chloropus_31507_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2007 to 2010;;nest site selection;;18 nests;;Ong-in T 2016 Raffles Bulletin of Zoology 64: 89-97;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2006 to 2008;;nest predation report;video recording on nest;2 nests, 1 predated;;Pierce & Pobprasert 2013 Ibis 155: 419–423;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2002-2003;12 months;group structure;random rad walk;2km roads walked for 13 days/month;;Praditsup et al 2007 Forktail 23: 125–128;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2003-2005;30 months;density estimate - population changing since 1987;line transects;4 transects, 500m long walked twice/month;Distance;Round & Gale 2008 Biotropica 40: 225–230;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2006-2007;;mating ecology;;;;Savini & Sukumal 2009 International Journal of Galliformes Conservation 1: 12-17;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2006-2007;;topographical use;radio telemetry;4 collared animals (459 detections);;Sukumal & Savini 2009 International Journal of Galliformes Conservation 1: 18-22;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2007-2008;20 months;density estimates - habitat selection - breeding ecology -home range size;radio telemetry;2 collared females;;Sukumal et al 2010 Raffle’s Bulletin of Zoology 58: 391-401;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Sakaerat Biosphere Reserve;14.25;100.48;Thailand;2011;6 months;density estimate;camera trap - line transects;CT) 61 locations, 14 days/location - LT) 61 transects, 200m long, walked 4 to 5 times;CT) Royle–Nichols model using repeated presence–absence data and the binomial mixture model using replicated count data - LT) Distance;Suwanrat et al 2015 Global Ecology and Conservation 3: 596-606;
Siamese fireback;Lophura diardi;Lophura_diardi_260_BL;Sakaerat Biosphere Reserve;14.25;100.48;Thailand;2010 to 2012;;reproductive ecology - nest survival -predator community;nest;21 nests;;Suwanrat et al 2014 Raffles Bulletin of Zoology 62:581-590;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;7 Counties - south Sichuan and north Yunnan;25.23774;104.128114;China;1996-1997;;density estimate;line transect;10 transects, 1km long;linear model of the two-belt transect method;Bo et al 1999 Bird Conservation International 9: 349-359;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;Baiposhan Nature Reserve;26.5401;101.5311;China;2004-2005;4 months;habitat use in non-breeding season;pointing dogs;60 locations;;Liao et al 2007 Zoological Research 28: 167-71;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;Forest Farm 213 - south Sichuan;26.927555;102.204407;China;2000;6 months;habitat use;point count - telemetry - home range;23 points - 8 collared animals;MCP;Bo et al 2009 Bird Conservation International 19: 187–198;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;South Sichuan;25.23774;104.128114;China;;;Habitat change modelling after climate change;;40 locations;;Lei et al 2014 Polish Journal of Ecology 62: 771–787;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;;;;;;;Breeding ecology;;;;Fu et al 2017 Journal of Ornithology 158: 707-715;
Sichuan hill partridge;Arborophila rufipectus;Arborophila_rufipectus_214_BL;;;;;;;roosting ecology;;;;Liao et all 2008 Bird Conservation International 18: 260–266;
Silver pheasant;Lophura nycthemera;Lophura_nycthemera_251_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2003-2005;30 months;density estimate - population changing since 1987;line transects;4 transects, 500m long walked twice/month;Distance;Round & Gale 2008 Biotropica 40: 225–230;
Silver pheasant;Lophura nycthemera;Lophura_nycthemera_251_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2006-2007;;mating ecology;;;;Savini & Sukumal 2009 International Journal of Galliformes Conservation 1: 12-17;
Silver pheasant;Lophura nycthemera;Lophura_nycthemera_251_BL;Khao Yai National Park;14.2629;101.2211;Thailand;2006-2007;;topographical use;radio telemetry;1 collared animals (50 detections);;Sukumal & Savini 2009 International Journal of Galliformes Conservation 1: 18-22;
Sumatran partridge;Arborophila sumatrana;Arborophila_sumatrana_31043_BL;;;;;;;;;;;;
White cheeked partridge;Arborophila atrogularis;Arborophila_atrogularis_210_BL;;;;;;;;;;;;
White necklaced (Collared) partridge;Arborophila gingica;Arborophila_gingica_218_BL;;;;;;;;;;;;
